Item,Status,Finding,Evidence,RequiredFollowUp
Current SET,UNVERIFIED_CURRENT_SET,1500k SET absent from repo; user states held on VPS. Current risk .90 user stated only.,User request; docs/26 historical diagnostics,Obtain current SET and dated startup logs; do not substitute defaults
WeeklyBase,SOURCE_CONFIRMED_CURRENT_VALUE_UNKNOWN,Equity if InpWeeklyBaseUseEquity=true; Balance otherwise; nonpositive base falls back to Balance.,Step921 GetCurrentBaseAmount; Step924 GetWeeklyBaseAmount,Confirm current SET; A remains theoretical Balance
Weekly key,SOURCE_CONFIRMED,JST Monday00 calendar date; first call snapshots base and persists in terminal GlobalVariable; not scheduled Monday06 capture.,Step924 lines 211-321,Phase5 test rollover first call and persisted reuse
Global variable restart,REQUIRES_PHASE5_TEST,TE_STEP7_WEEKLY_BASE_<week> omits account/build identity. Existing variable reused after restart; missing variable snapshots current funds.,Step921 WeeklyBaseGlobalVariableName; Step924 GetWeeklyBaseAmount,Test account/build collision; validate persistent cache namespace in separate implementation
LotMode,CURRENT_VALUE_UNKNOWN,0 fixed lot; 1 weekly compound. Current SET absent.,Step924 GetStrategyLot,R2 per-trade risk requires mode1
Risk formula,SOURCE_CONFIRMED,WeeklyBase*InpRiskPercentPerTrade/100; RawLot=RiskAmount/(SLPips*PipValuePerLot).,Step924 lines 329-410,Future per-entry AppliedRiskPercent local value; preserve guards
Pip value,RUNTIME_ONLY,SYMBOL_TRADE_TICK_VALUE*(GetPipSize/SYMBOL_TRADE_TICK_SIZE); missing/invalid values produce zero lot.,Step921 GetPipValuePerLot,Record actual account-currency value with timestamp
Symbol volume specs,NOT_RUN_MISSING_CURRENT_SYMBOL_SPECS,Runtime SYMBOL_VOLUME_MIN/MAX/STEP; no complete dated current snapshot found.,Step921 NormalizeLot,No fabricated static 27x5 lot table
MaxAutoLot,CURRENT_VALUE_UNKNOWN,If >0 cap raw lot before NormalizeLot; current value unknown. Old diagnostic .10 is not current evidence.,Step924 lines 391-398; docs/26,Confirm cap and effective risk compression
AllowMinLot / LOT STOP,CURRENT_VALUE_UNKNOWN,RawLot<min and AllowMinLot=false returns zero. true can round up to min. Invalid base/SL/pip value stops.,Step924 lines 342-398,Confirm policy and log reasons independently of volatility fallback
Normalization,CONDITIONAL_RISK,Clamp min/max then floor to step then two-decimal normalization; cap<min may be exceeded; finer steps can be changed.,Step921 lines 725-735,Verify actual specs before no-fatal-incompatibility pass
SL,SOURCE_CONFIRMED,"Use GetStrategySLPips(cfg,jst_time); includes UJ12 date-specific logic. Do not assume a single SL per strategy.",Step924 lines 183-205,Audit representative dates and lot mappings once actual inputs available
Per-trade risk for 27 strategies,DESIGN_FEASIBLE_NOT_IMPLEMENTED,All retained strategies use common GetStrategyLot path; local AppliedRiskPercent can replace scalar input use. Exclude only 22 in research.,Step924 GetStrategyLot and order paths; frozen strategy registry,No EA edits in Phase4; Phase5 parity tests required
ATR20 / quintile parity,DESIGN_FEASIBLE_NOT_IMPLEMENTED,Reconstruct JST completed OHLC from M1; SMA20 TR; exact previous252 midrank excluding evaluation day; native broker D1 or iATR not equivalent by assumption.,volatility_phase1.py features/make_daily/assign; volatility_phase2.py,Compare reference features and entry labels before demo orders
Warm-up and feature fallback,DESIGN_FEASIBLE_NOT_IMPLEMENTED,Need 253 finite daily feature values; ATR earliest 272 actual days; RV earliest 273 closes. On missing/stale/invalid cache use .90 with reason.,volatility_phase1.py features/assign,Rebuild/validate cache on restart; never fill with future or current partial data
Entry availability,SOURCE_SPEC_CONFIRMED,Daily date available next JST midnight and LastM1+1min<=entry; actual Saturday bars count; Helsinki/JST DST conversion preserved.,volatility_phase1.py make_daily/assign,Version source/timezone rules and log feature as-of timestamps
Logs,DESIGN_FEASIBLE_NOT_IMPLEMENTED,Add VolRegime VolPercentile AppliedRiskPercent FallbackReason plus source timestamps risk/lot/base/strategy fields. Existing lot logs are conditional.,Step921 PrintLotLog; Step924 LOT CALC,Separate Phase5 build must make audit logs reliable
Historical constrained simulation,NOT_RUN_MISSING_HISTORICAL_BROKER_INPUTS,"Historical pip values, symbol specs and true week-start floating equity missing.",docs/59 and this source audit,A cannot establish broker-constrained profitability
Audit overall,UNDETERMINED,Current SET/spec evidence missing; conceptual implementation path is not a confirmed deployment pass.,docs/61 precommitted condition7,Do not label DEMO_FORWARD_CANDIDATE yet
